Movie,Release Date,Domestic Box Office,Inflation Adjusted Domestic,International Box Office,World Wide Box Office,Opening Weekend,Budget,IMDb Score,Meta Score,Tomatometer,Rotton Tomato Audience Score,Run Time In Minutes,Phase,Director
Iron Man,05/02/2008,318604126,467231126,266567421,585171547,102118668,186000000,7.9,79,94,91,126,One,
The Incredible Hulk,06/13/2008,134806913,197704288,130766946,265573859,55414050,137500000,6.6,61,67,69,112,One,
Iron Man 2,05/07/2010,312433331,416973763,308723058,621156389,128122480,170000000,6.9,57,72,71,124,One,
Thor,05/06/2011,181030624,240384926,268295994,449326618,65723338,150000000,7,57,77,76,115,One,
Captain America: The First Avenger,07/22/2011,176654505,234574020,193915271,370569776,65058524,140000000,6.9,66,80,75,124,One,
The Avengers,05/04/2012,623357910,824617936,891742301,1515100211,207438708,225000000,8,69,91,91,143,One,
Iron Man 3,05/03/2013,408992272,529727993,806400000,1215392272,174144585,200000000,7.1,62,79,78,130,Two,
Thor: The Dark World,11/08/2013,206362140,267262372,438240376,644602516,85737841,150000000,6.8,54,67,75,112,Two,
Captain America: The Winter Soldier,04/04/2014,259746958,334777900,454654931,714401889,95023721,170000000,7.7,70,90,92,132,Two,
Guardians of The Galaxy,08/01/2014,333714112,430014621,437168283,770882395,94320883,170000000,8,76,92,92,121,Two,
Avengers: Age of Ultron,05/01/2015,459005868,573348960,936311111,1395316979,191271109,365000000,7.3,66,76,82,141,Two,
Ant-Man,07/17/2015,180202163,225092376,338656286,518858449,57225526,130000000,7.3,64,83,85,117,Two,
Captain America: Civil War,05/06/2016,408084349,496777822,743815237,1151899586,179139142,250000000,7.8,75,90,89,147,Three,
Doctor Strange,11/04/2016,232641920,283094491,443701254,676343174,85058311,165000000,7.5,72,89,86,115,Three,
Guardians of the Galaxy Vol. 2,05/05/2017,389813101,457606675,479274862,869087963,146510104,200000000,7.6,67,85,87,136,Three,
Spider-Man: Homecoming,07/07/2017,334201140,392323076,544070151,878271291,117027503,175000000,7.4,73,92,87,133,Three,
Thor: Ragnarok,11/03/2017,315058289,369781873,535424489,850482778,122744989,180000000,7.9,74,93,87,130,Three,
Black Panther,02/16/2018,700059566,809179714,636434754,1336494320,202003951,200000000,7.3,88,96,79,134,Three,
Avengers Infinity War,04/27/2018,678815482,784624259,1369544272,2048359754,257698183,300000000,8.4,68,85,92,149,Three,
Ant-Man and the Wasp,07/06/2018,216648740,250418353,406495920,623144660,75812205,130000000,7,70,87,80,118,Three,
Captain Marvel,03/08/2019,426829839,490667926,702746255,1129576094,153433423,175000000,6.8,64,79,45,123,Three,
Avengers: Endgame,04/26/2019,858373000,986754117,1930539285,2788912285,357115007,400000000,8.4,78,94,90,181,Three,
Spider-Man: Far From Home,07/02/2019,390532085,448941359,741575437,1132107522,92579212,160000000,7.4,69,90,95,129,Three,
Black Widow,07/09/2021,183651655,185947301,,379751131,80366312,200000000,6.7,68,79,91,134,Four,
Shang-Chi and the Legend of the Ten Rings,09/03/2021,224543292,227350082,,432224634,75388688,150000000,7.4,71,92,98,132,Four,
Eternals,11/05/2021,164870264,166928942,,401731759,71297219,200000000,6.3,52,47,77,156,Four,
Spider-Man: No Way Home,12/17/2021,814115070,821277378,,1907836254,260138569,200000000,8.2,71,93,98,148,Four,
Doctor Strange in the Multiverse of Madness,05/06/2022,411331607,411331607,,952224986,187420998,200000000,6.9,60,73,85,126,Four,
Thor: Love and Thunder,07/08/2022,,,,,,,,,,,,Four,
Black Panther: Wakanda Forever,11/11/2022,,,,,,,,,,,,Four,
Ant-Man and the Wasp: Quantumania,02/17/2023,,,,,,,,,,,,Five,
Guardians of the Galaxy Vol. 3,05/05/2023,,,,,,,,,,,,Five,
The Marvels,11/10/2023,,,,,,,,,,,,Five,
